,Search,Tweet_Date,Original_Tweet
33,Bolsonaro,2022-04-17,"@leleleleleo7 @SilviaLapa4 @Marcelima18Lima @mfriasoficial Em São Bernardo do Campo (SP) o Governo do Brasil entrega moradias para 194 famílias e melhorando a infraestrutura urbana do bairro. 
São ações do Programa Casa Verde e Amarela. O governo Bolsonaro já entregou mais de 1,2 milhão de moradias desde 2019."
34,Bolsonaro,2022-04-17,@OsvaldoPiresFi1 Bolsonaro reeleito no primeiro turno 22 🇧🇷 presidente do Brasil
35,Bolsonaro,2022-04-17,Felipe Neto é sondado para ser o novo ministro da Justiça de Jair Bolsonaro
36,Bolsonaro,2022-04-17,@CerizePedro Conte com meu voto bolsonaro  × lula= nulo
37,Bolsonaro,2022-04-17,Eleitor de Bolsonaro https://t.co/mDyf6PRL0r
38,Bolsonaro,2022-04-17,@RE_BOLSONARO https://t.co/fjHgHxf9Oc
39,Bolsonaro,2022-04-17,@RanierQuinto @LuFF1209 @gabrielbarberes @josanti15 @carteiroreaca @jairbolsonaro Bolsonaro foi vaiado não foi?
40,Bolsonaro,2022-04-17,passando pra lembrar que Bolsonaro e com letra maiuscula galera
41,Bolsonaro,2022-04-17,"@JoaoFurtado1960 @luizfalvesjr Bolsonaro é ruim para o Brasil a vista. Lula em prestações. Não voto em Bolsonaro, mas em Lula nunca, mas nunca mais mesmo. Mesmo que Ciro, Lupi, Marina Sílva, Heloísa Helena, Aldo e quem mais da esquerda apoie ele"
42,Bolsonaro,2022-04-17,"@garotasemfio @vuintrieri @DoctorClimao Kkk. Vcs saibam ou não, o Bolsonaro cresceu nas pesquisas por causa disto aí! Mas eu acho que vcs não querem é o lula de vota mesmo, né?"
43,Bolsonaro,2022-04-17,"BOLSONARO LIBERO RAPAZ, TA TUDO LIBERADO, BEIJAR BANCO DE ÔNIBUS, LAMBER CORRIMÃO
É NOIS CARALHO https://t.co/5X84hBhkem"
44,Bolsonaro,2022-04-17,"Vem pro bonde do título regularizado que vai tirar o Bolsonaro! 💪

É só entrar no https://t.co/dlC8Tn2VrT até o dia 4 de maio e seguir as instruções. Não tem que sair de casa, nem esperar em filas. Tá fácil! https://t.co/RsTWhGmBpZ"
45,Bolsonaro,2022-04-17,https://t.co/eiEDmwu85n
46,Bolsonaro,2022-04-17,@marciatiburi @Anitta @LulaOficial Bolsonaro Reeleito  no primeiro turno. Mulheres com Bolsonaro 🇧🇷🇧🇷😉 https://t.co/zGh4HQ8v0M
47,Bolsonaro,2022-04-17,@LalaMineiraZi @MarcioM61326104 @alvesmimar3 @MarquesToalinha @mello65440 @Marbenje @leal11_vanda @Edu05freire @Nuu0204 @CleberLSantos1 @Melkpsobrinho @LEANDROCORR21 @nefertiti2022 @Eduardo57009171 @ZilaHelena @RE_BOLSONARO SDV sempre boraaaaa
48,Bolsonaro,2022-04-17,"@Biakicis @jairbolsonaro Aqui em nossa casa são pelos menos 7 Votos para @jairbolsonaro
#BolsonaroReeleito2022
E estou em campo todos os dias para conquistar mais e mais votos para nosso Presidente Bolsonaro.. https://t.co/PrxyqZRQPH"
49,Bolsonaro,2022-04-17,Só faltou dizer que a barca afundou e levou toda a tripulação e os proprietários das barcas e a culpa foi do BOLSONARO que fez uma ponte! https://t.co/ageJBdsK5y
50,Bolsonaro,2022-04-17,"@doriadeferro Coragem, enfrentou Aécio Neves e Jair Bolsonaro e trouxe as vacinas
#PSDBcomDoria"
51,Bolsonaro,2022-04-17,"@dann_pilot @siteptbr Cara,totalmente desnecessário. Não sou apoiador do Bolsonaro,inclusive isso sim foi culpa dele e culpa do Lula. Pessoas com graduação em Filosofia,história,sociologia adoram discutir economia,mas fogem quando aparece alguém técnico."
52,Bolsonaro,2022-04-17,"@Lambert_Br @bibonunes1 @SenadoFederal Nao falei de mim falei dos ministros do supremo q foram ameaçados por sara winter dani silveira bob jeff e quase todos os dias pelo bandido miliciano jair bolsonaro
O stf ja declarou q o art. 142 nao se aplica ao q os bolsonaristas querem e em questão a constituição o stf manda"
53,Bolsonaro,2022-04-17,Fora Bolsonaro!  Agora é Lula!
54,Bolsonaro,2022-04-17,@showdavida Se o Bolsonaro que é uma anta pode pq não o coelhinho? https://t.co/ZOiix71YF0
55,Bolsonaro,2022-04-17,"Grindewald o próprio Bolsonaro, sério mesmo."
56,Bolsonaro,2022-04-17,@Edu05freire @MarcioM61326104 @alvesmimar3 @MarquesToalinha @mello65440 @Marbenje @leal11_vanda @Nuu0204 @CleberLSantos1 @Melkpsobrinho @LEANDROCORR21 @nefertiti2022 @Eduardo57009171 @ZilaHelena @RE_BOLSONARO @ErthalCollier SDV sempre boraaaaa
57,Bolsonaro,2022-04-17,"E a Moça que se diz jornalista, estava no jogo do Santos, xingou Bolsonaro e ainda postou toda orgulhosa.
https://t.co/ZacO0YaOrb"
58,Bolsonaro,2022-04-17,"Assim, não faz sentido derrubarmos apenas o Bolsonaro. Derrubar a EC 95, a reforma trabalhista e a da previdência significa simplesmente estancar a sangria, retomarmos o patamar  de 2016. É o mínimo. E é por isto que aliança orgânica com neoliberais mais atrapalha que ajuda."
59,Bolsonaro,2022-04-17,"A cantora que canta com a bunda Anitta vulgo Antitta não gostou da resposta e bloqueou o Presidente Bolsonaro em sua conta no red bird!
😎🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 https://t.co/HVwsc4rXtE"
60,Bolsonaro,2022-04-17,gente pq o bolsonaro tweeta com hifen no@comeco
61,Bolsonaro,2022-04-17,@8T0KREV_ São tempos difíceis. Tudo culpa do Bolsonaro
62,Bolsonaro,2022-04-17,@jrguzzofatos BOLSONARO NÃO ESTÀ SOSINHO... NUNCA ESTEVE E NUNCA ESTARÀ!
63,Bolsonaro,2022-04-17,Brasil | Jair Bolsonaro celebra un mitin en motocicleta en Sao Paulo https://t.co/ctxZ1Y6xdk via @YouTube
64,Bolsonaro,2022-04-17,"@RafaUdfOdontoRF @gleisi @Anitta Kkkkkkkk é divertidissimo ver essa esquerdalha desesperada kkkkkk
Presidente BOLSONARO REELEITO NO 1turno...chorem e espumem. Mudem pra venezuela rapidinho https://t.co/HB8OvxOID8"
65,Bolsonaro,2022-04-17,@silvionavarro O Bolsonaro não precisa de fraude para perder as eleições e sim para ganhar. Só fez campanha e merda no mandato que está ocupando.
